# Constructed from biom file																										
OTU.ID	ACO1	ACO1	ACO2	ACO2	ACO3	ACO3	ACO4	ACO4	ACO5	ACO5	CO1	CO1	CO2	CO2	CO3	CO3	CO4	CO4	CO5	kingdom	phylum	class	order	family	genus	species
c32d5810860ab2e1bd46a672f1386b25	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	k__Bacteria	 p__Verrucomicrobia	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__Akkermansia	 s__Uncultured Rhodospirillaceae bacterium clone
8136c229a8cd5dca08ae83c658f80005	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus s__Roseomonas tokyonensis strain IMCC34610
7a43729a703770cf5957180556151e18	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__[Mogibacteriaceae]	 g__	 s__
1995703762edaaee69e24435c5b86bd7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Desulfovibrionales	 f__Desulfovibrionaceae	 g__Desulfovibrio	 s__
b5de92b9f49daf2285d3eb6cd82db24e	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	k__Archaea	 p__Euryarchaeota	 c__Methanobacteria	 o__Methanobacteriales	 f__Methanobacteriaceae	 g__Methanobrevibacter	 s__
73367f5a87c396ea284510cd30b25386	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	 s__
3450227d0ea511d62b011e23bfacdc96	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria	 p__Verrucomicrobia	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__Akkermansia	 s__
0dce6b552fbebc89009bf164db8c13e6	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Roseburia	 s__
d9a6832f1d9549d5290d6476836430ce	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__	 s__
a4e8e6db2ee73c43f277d5472bb32575	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
0dc8a61723b635a1e1df89cd1a9053e6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteria	 c__Coriobacteriia	 o__Coriobacteriales	 f__Coriobacteriaceae	 g__Atopobium	 s__
6dfb4291462e75654b7cffb4bffd9cca	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__	 s__
24d93ecdf7397e2a743a27abc438ca77	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteria	 c__Coriobacteriia	 o__Coriobacteriales	 f__Coriobacteriaceae	0	0
b51d420b1793b22542b31899dac0e901	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__5-7N15	 s__
e2ccfd4d36edd267a29512c6304898ee	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Coprococcus	 s__
7d288b83c3d604bd330af24ec60f7037	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__	 s__
bdf2179f17db7f1eae06cc79b99b5fb8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
2708e0c821aa20a79a8a0bd5f8112231	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__[Mogibacteriaceae]	 g__	 s__
a7117f9f0082152d84e85b4ede3d59c5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
b867ec33eb48cd092e2e6dcc4d00d9c3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__	 s__
c9e4eea73baef8ee033cf2b9d16c6189	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Listeriaceae	 g__Listeria	0
bbfe6b1b9490f2fcbf8a702b7274d262	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Coprococcus	 s__
5dec64bfb7ed2f7fa18d2280c98d4491	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__	 g__	 s__
